Variation #,Input,Weight,Bias,Running Mean,Running Var,Momentum,Eps
116,"Tensor<[1, 352, 14, 14]> input = ?",Optional[Tensor]<[352]> weight = ?,Optional[Tensor]<[352]> bias = ?,Tensor<[352]> running_mean = ?,Tensor<[352]> running_var = ?,float momentum = 0.1,float eps = 1e-05
117,"Tensor<[1, 384, 14, 14]> input = ?",Optional[Tensor]<[384]> weight = ?,Optional[Tensor]<[384]> bias = ?,Tensor<[384]> running_mean = ?,Tensor<[384]> running_var = ?,float momentum = 0.1,float eps = 1e-05
118,"Tensor<[1, 416, 14, 14]> input = ?",Optional[Tensor]<[416]> weight = ?,Optional[Tensor]<[416]> bias = ?,Tensor<[416]> running_mean = ?,Tensor<[416]> running_var = ?,float momentum = 0.1,float eps = 1e-05
119,"Tensor<[1, 448, 14, 14]> input = ?",Optional[Tensor]<[448]> weight = ?,Optional[Tensor]<[448]> bias = ?,Tensor<[448]> running_mean = ?,Tensor<[448]> running_var = ?,float momentum = 0.1,float eps = 1e-05
120,"Tensor<[1, 480, 14, 14]> input = ?",Optional[Tensor]<[480]> weight = ?,Optional[Tensor]<[480]> bias = ?,Tensor<[480]> running_mean = ?,Tensor<[480]> running_var = ?,float momentum = 0.1,float eps = 1e-05
121,"Tensor<[1, 544, 14, 14]> input = ?",Optional[Tensor]<[544]> weight = ?,Optional[Tensor]<[544]> bias = ?,Tensor<[544]> running_mean = ?,Tensor<[544]> running_var = ?,float momentum = 0.1,float eps = 1e-05
122,"Tensor<[1, 576, 14, 14]> input = ?",Optional[Tensor]<[576]> weight = ?,Optional[Tensor]<[576]> bias = ?,Tensor<[576]> running_mean = ?,Tensor<[576]> running_var = ?,float momentum = 0.1,float eps = 1e-05
123,"Tensor<[1, 608, 14, 14]> input = ?",Optional[Tensor]<[608]> weight = ?,Optional[Tensor]<[608]> bias = ?,Tensor<[608]> running_mean = ?,Tensor<[608]> running_var = ?,float momentum = 0.1,float eps = 1e-05
124,"Tensor<[1, 672, 14, 14]> input = ?",Optional[Tensor]<[672]> weight = ?,Optional[Tensor]<[672]> bias = ?,Tensor<[672]> running_mean = ?,Tensor<[672]> running_var = ?,float momentum = 0.1,float eps = 1e-05
125,"Tensor<[1, 704, 14, 14]> input = ?",Optional[Tensor]<[704]> weight = ?,Optional[Tensor]<[704]> bias = ?,Tensor<[704]> running_mean = ?,Tensor<[704]> running_var = ?,float momentum = 0.1,float eps = 1e-05
126,"Tensor<[1, 736, 14, 14]> input = ?",Optional[Tensor]<[736]> weight = ?,Optional[Tensor]<[736]> bias = ?,Tensor<[736]> running_mean = ?,Tensor<[736]> running_var = ?,float momentum = 0.1,float eps = 1e-05
127,"Tensor<[1, 768, 14, 14]> input = ?",Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,Tensor<[768]> running_mean = ?,Tensor<[768]> running_var = ?,float momentum = 0.1,float eps = 1e-05
128,"Tensor<[1, 800, 14, 14]> input = ?",Optional[Tensor]<[800]> weight = ?,Optional[Tensor]<[800]> bias = ?,Tensor<[800]> running_mean = ?,Tensor<[800]> running_var = ?,float momentum = 0.1,float eps = 1e-05
129,"Tensor<[1, 832, 14, 14]> input = ?",Optional[Tensor]<[832]> weight = ?,Optional[Tensor]<[832]> bias = ?,Tensor<[832]> running_mean = ?,Tensor<[832]> running_var = ?,float momentum = 0.1,float eps = 1e-05
130,"Tensor<[1, 864, 14, 14]> input = ?",Optional[Tensor]<[864]> weight = ?,Optional[Tensor]<[864]> bias = ?,Tensor<[864]> running_mean = ?,Tensor<[864]> running_var = ?,float momentum = 0.1,float eps = 1e-05
131,"Tensor<[1, 896, 14, 14]> input = ?",Optional[Tensor]<[896]> weight = ?,Optional[Tensor]<[896]> bias = ?,Tensor<[896]> running_mean = ?,Tensor<[896]> running_var = ?,float momentum = 0.1,float eps = 1e-05
132,"Tensor<[1, 928, 14, 14]> input = ?",Optional[Tensor]<[928]> weight = ?,Optional[Tensor]<[928]> bias = ?,Tensor<[928]> running_mean = ?,Tensor<[928]> running_var = ?,float momentum = 0.1,float eps = 1e-05
133,"Tensor<[1, 960, 14, 14]> input = ?",Optional[Tensor]<[960]> weight = ?,Optional[Tensor]<[960]> bias = ?,Tensor<[960]> running_mean = ?,Tensor<[960]> running_var = ?,float momentum = 0.1,float eps = 1e-05
134,"Tensor<[1, 992, 14, 14]> input = ?",Optional[Tensor]<[992]> weight = ?,Optional[Tensor]<[992]> bias = ?,Tensor<[992]> running_mean = ?,Tensor<[992]> running_var = ?,float momentum = 0.1,float eps = 1e-05
135,"Tensor<[1, 128, 7, 7]> input = ?",Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,Tensor<[128]> running_mean = ?,Tensor<[128]> running_var = ?,float momentum = 0.1,float eps = 1e-05
136,"Tensor<[1, 544, 7, 7]> input = ?",Optional[Tensor]<[544]> weight = ?,Optional[Tensor]<[544]> bias = ?,Tensor<[544]> running_mean = ?,Tensor<[544]> running_var = ?,float momentum = 0.1,float eps = 1e-05
137,"Tensor<[1, 576, 7, 7]> input = ?",Optional[Tensor]<[576]> weight = ?,Optional[Tensor]<[576]> bias = ?,Tensor<[576]> running_mean = ?,Tensor<[576]> running_var = ?,float momentum = 0.1,float eps = 1e-05
138,"Tensor<[1, 608, 7, 7]> input = ?",Optional[Tensor]<[608]> weight = ?,Optional[Tensor]<[608]> bias = ?,Tensor<[608]> running_mean = ?,Tensor<[608]> running_var = ?,float momentum = 0.1,float eps = 1e-05
139,"Tensor<[1, 640, 7, 7]> input = ?",Optional[Tensor]<[640]> weight = ?,Optional[Tensor]<[640]> bias = ?,Tensor<[640]> running_mean = ?,Tensor<[640]> running_var = ?,float momentum = 0.1,float eps = 1e-05
140,"Tensor<[1, 672, 7, 7]> input = ?",Optional[Tensor]<[672]> weight = ?,Optional[Tensor]<[672]> bias = ?,Tensor<[672]> running_mean = ?,Tensor<[672]> running_var = ?,float momentum = 0.1,float eps = 1e-05
141,"Tensor<[1, 704, 7, 7]> input = ?",Optional[Tensor]<[704]> weight = ?,Optional[Tensor]<[704]> bias = ?,Tensor<[704]> running_mean = ?,Tensor<[704]> running_var = ?,float momentum = 0.1,float eps = 1e-05
142,"Tensor<[1, 736, 7, 7]> input = ?",Optional[Tensor]<[736]> weight = ?,Optional[Tensor]<[736]> bias = ?,Tensor<[736]> running_mean = ?,Tensor<[736]> running_var = ?,float momentum = 0.1,float eps = 1e-05
143,"Tensor<[1, 768, 7, 7]> input = ?",Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,Tensor<[768]> running_mean = ?,Tensor<[768]> running_var = ?,float momentum = 0.1,float eps = 1e-05
144,"Tensor<[1, 800, 7, 7]> input = ?",Optional[Tensor]<[800]> weight = ?,Optional[Tensor]<[800]> bias = ?,Tensor<[800]> running_mean = ?,Tensor<[800]> running_var = ?,float momentum = 0.1,float eps = 1e-05
145,"Tensor<[1, 832, 7, 7]> input = ?",Optional[Tensor]<[832]> weight = ?,Optional[Tensor]<[832]> bias = ?,Tensor<[832]> running_mean = ?,Tensor<[832]> running_var = ?,float momentum = 0.1,float eps = 1e-05
146,"Tensor<[1, 864, 7, 7]> input = ?",Optional[Tensor]<[864]> weight = ?,Optional[Tensor]<[864]> bias = ?,Tensor<[864]> running_mean = ?,Tensor<[864]> running_var = ?,float momentum = 0.1,float eps = 1e-05
147,"Tensor<[1, 896, 7, 7]> input = ?",Optional[Tensor]<[896]> weight = ?,Optional[Tensor]<[896]> bias = ?,Tensor<[896]> running_mean = ?,Tensor<[896]> running_var = ?,float momentum = 0.1,float eps = 1e-05
148,"Tensor<[1, 928, 7, 7]> input = ?",Optional[Tensor]<[928]> weight = ?,Optional[Tensor]<[928]> bias = ?,Tensor<[928]> running_mean = ?,Tensor<[928]> running_var = ?,float momentum = 0.1,float eps = 1e-05
149,"Tensor<[1, 960, 7, 7]> input = ?",Optional[Tensor]<[960]> weight = ?,Optional[Tensor]<[960]> bias = ?,Tensor<[960]> running_mean = ?,Tensor<[960]> running_var = ?,float momentum = 0.1,float eps = 1e-05
150,"Tensor<[1, 992, 7, 7]> input = ?",Optional[Tensor]<[992]> weight = ?,Optional[Tensor]<[992]> bias = ?,Tensor<[992]> running_mean = ?,Tensor<[992]> running_var = ?,float momentum = 0.1,float eps = 1e-05
151,"Tensor<[1, 96, 112, 112]> input = ?",Optional[Tensor]<[96]> weight = ?,Optional[Tensor]<[96]> bias = ?,Tensor<[96]> running_mean = ?,Tensor<[96]> running_var = ?,float momentum = 0.1,float eps = 1e-05
152,"Tensor<[1, 144, 56, 56]> input = ?",Optional[Tensor]<[144]> weight = ?,Optional[Tensor]<[144]> bias = ?,Tensor<[144]> running_mean = ?,Tensor<[144]> running_var = ?,float momentum = 0.1,float eps = 1e-05
153,"Tensor<[1, 240, 56, 56]> input = ?",Optional[Tensor]<[240]> weight = ?,Optional[Tensor]<[240]> bias = ?,Tensor<[240]> running_mean = ?,Tensor<[240]> running_var = ?,float momentum = 0.1,float eps = 1e-05
154,"Tensor<[1, 288, 56, 56]> input = ?",Optional[Tensor]<[288]> weight = ?,Optional[Tensor]<[288]> bias = ?,Tensor<[288]> running_mean = ?,Tensor<[288]> running_var = ?,float momentum = 0.1,float eps = 1e-05
155,"Tensor<[1, 336, 56, 56]> input = ?",Optional[Tensor]<[336]> weight = ?,Optional[Tensor]<[336]> bias = ?,Tensor<[336]> running_mean = ?,Tensor<[336]> running_var = ?,float momentum = 0.1,float eps = 1e-05
156,"Tensor<[1, 384, 56, 56]> input = ?",Optional[Tensor]<[384]> weight = ?,Optional[Tensor]<[384]> bias = ?,Tensor<[384]> running_mean = ?,Tensor<[384]> running_var = ?,float momentum = 0.1,float eps = 1e-05
157,"Tensor<[1, 240, 28, 28]> input = ?",Optional[Tensor]<[240]> weight = ?,Optional[Tensor]<[240]> bias = ?,Tensor<[240]> running_mean = ?,Tensor<[240]> running_var = ?,float momentum = 0.1,float eps = 1e-05
158,"Tensor<[1, 336, 28, 28]> input = ?",Optional[Tensor]<[336]> weight = ?,Optional[Tensor]<[336]> bias = ?,Tensor<[336]> running_mean = ?,Tensor<[336]> running_var = ?,float momentum = 0.1,float eps = 1e-05
159,"Tensor<[1, 432, 28, 28]> input = ?",Optional[Tensor]<[432]> weight = ?,Optional[Tensor]<[432]> bias = ?,Tensor<[432]> running_mean = ?,Tensor<[432]> running_var = ?,float momentum = 0.1,float eps = 1e-05
160,"Tensor<[1, 528, 28, 28]> input = ?",Optional[Tensor]<[528]> weight = ?,Optional[Tensor]<[528]> bias = ?,Tensor<[528]> running_mean = ?,Tensor<[528]> running_var = ?,float momentum = 0.1,float eps = 1e-05
161,"Tensor<[1, 576, 28, 28]> input = ?",Optional[Tensor]<[576]> weight = ?,Optional[Tensor]<[576]> bias = ?,Tensor<[576]> running_mean = ?,Tensor<[576]> running_var = ?,float momentum = 0.1,float eps = 1e-05
162,"Tensor<[1, 624, 28, 28]> input = ?",Optional[Tensor]<[624]> weight = ?,Optional[Tensor]<[624]> bias = ?,Tensor<[624]> running_mean = ?,Tensor<[624]> running_var = ?,float momentum = 0.1,float eps = 1e-05
163,"Tensor<[1, 672, 28, 28]> input = ?",Optional[Tensor]<[672]> weight = ?,Optional[Tensor]<[672]> bias = ?,Tensor<[672]> running_mean = ?,Tensor<[672]> running_var = ?,float momentum = 0.1,float eps = 1e-05
164,"Tensor<[1, 720, 28, 28]> input = ?",Optional[Tensor]<[720]> weight = ?,Optional[Tensor]<[720]> bias = ?,Tensor<[720]> running_mean = ?,Tensor<[720]> running_var = ?,float momentum = 0.1,float eps = 1e-05
165,"Tensor<[1, 768, 28, 28]> input = ?",Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,Tensor<[768]> running_mean = ?,Tensor<[768]> running_var = ?,float momentum = 0.1,float eps = 1e-05
166,"Tensor<[1, 192, 14, 14]> input = ?",Optional[Tensor]<[192]> weight = ?,Optional[Tensor]<[192]> bias = ?,Tensor<[192]> running_mean = ?,Tensor<[192]> running_var = ?,float momentum = 0.1,float eps = 1e-05
167,"Tensor<[1, 432, 14, 14]> input = ?",Optional[Tensor]<[432]> weight = ?,Optional[Tensor]<[432]> bias = ?,Tensor<[432]> running_mean = ?,Tensor<[432]> running_var = ?,float momentum = 0.1,float eps = 1e-05
168,"Tensor<[1, 528, 14, 14]> input = ?",Optional[Tensor]<[528]> weight = ?,Optional[Tensor]<[528]> bias = ?,Tensor<[528]> running_mean = ?,Tensor<[528]> running_var = ?,float momentum = 0.1,float eps = 1e-05
169,"Tensor<[1, 624, 14, 14]> input = ?",Optional[Tensor]<[624]> weight = ?,Optional[Tensor]<[624]> bias = ?,Tensor<[624]> running_mean = ?,Tensor<[624]> running_var = ?,float momentum = 0.1,float eps = 1e-05
170,"Tensor<[1, 720, 14, 14]> input = ?",Optional[Tensor]<[720]> weight = ?,Optional[Tensor]<[720]> bias = ?,Tensor<[720]> running_mean = ?,Tensor<[720]> running_var = ?,float momentum = 0.1,float eps = 1e-05
171,"Tensor<[1, 816, 14, 14]> input = ?",Optional[Tensor]<[816]> weight = ?,Optional[Tensor]<[816]> bias = ?,Tensor<[816]> running_mean = ?,Tensor<[816]> running_var = ?,float momentum = 0.1,float eps = 1e-05
172,"Tensor<[1, 912, 14, 14]> input = ?",Optional[Tensor]<[912]> weight = ?,Optional[Tensor]<[912]> bias = ?,Tensor<[912]> running_mean = ?,Tensor<[912]> running_var = ?,float momentum = 0.1,float eps = 1e-05
173,"Tensor<[1, 1008, 14, 14]> input = ?",Optional[Tensor]<[1008]> weight = ?,Optional[Tensor]<[1008]> bias = ?,Tensor<[1008]> running_mean = ?,Tensor<[1008]> running_var = ?,float momentum = 0.1,float eps = 1e-05
174,"Tensor<[1, 1056, 14, 14]> input = ?",Optional[Tensor]<[1056]> weight = ?,Optional[Tensor]<[1056]> bias = ?,Tensor<[1056]> running_mean = ?,Tensor<[1056]> running_var = ?,float momentum = 0.1,float eps = 1e-05
175,"Tensor<[1, 1104, 14, 14]> input = ?",Optional[Tensor]<[1104]> weight = ?,Optional[Tensor]<[1104]> bias = ?,Tensor<[1104]> running_mean = ?,Tensor<[1104]> running_var = ?,float momentum = 0.1,float eps = 1e-05
176,"Tensor<[1, 1152, 14, 14]> input = ?",Optional[Tensor]<[1152]> weight = ?,Optional[Tensor]<[1152]> bias = ?,Tensor<[1152]> running_mean = ?,Tensor<[1152]> running_var = ?,float momentum = 0.1,float eps = 1e-05
177,"Tensor<[1, 1200, 14, 14]> input = ?",Optional[Tensor]<[1200]> weight = ?,Optional[Tensor]<[1200]> bias = ?,Tensor<[1200]> running_mean = ?,Tensor<[1200]> running_var = ?,float momentum = 0.1,float eps = 1e-05
178,"Tensor<[1, 1248, 14, 14]> input = ?",Optional[Tensor]<[1248]> weight = ?,Optional[Tensor]<[1248]> bias = ?,Tensor<[1248]> running_mean = ?,Tensor<[1248]> running_var = ?,float momentum = 0.1,float eps = 1e-05
179,"Tensor<[1, 1296, 14, 14]> input = ?",Optional[Tensor]<[1296]> weight = ?,Optional[Tensor]<[1296]> bias = ?,Tensor<[1296]> running_mean = ?,Tensor<[1296]> running_var = ?,float momentum = 0.1,float eps = 1e-05
180,"Tensor<[1, 1344, 14, 14]> input = ?",Optional[Tensor]<[1344]> weight = ?,Optional[Tensor]<[1344]> bias = ?,Tensor<[1344]> running_mean = ?,Tensor<[1344]> running_var = ?,float momentum = 0.1,float eps = 1e-05
181,"Tensor<[1, 1392, 14, 14]> input = ?",Optional[Tensor]<[1392]> weight = ?,Optional[Tensor]<[1392]> bias = ?,Tensor<[1392]> running_mean = ?,Tensor<[1392]> running_var = ?,float momentum = 0.1,float eps = 1e-05
182,"Tensor<[1, 1440, 14, 14]> input = ?",Optional[Tensor]<[1440]> weight = ?,Optional[Tensor]<[1440]> bias = ?,Tensor<[1440]> running_mean = ?,Tensor<[1440]> running_var = ?,float momentum = 0.1,float eps = 1e-05
183,"Tensor<[1, 1488, 14, 14]> input = ?",Optional[Tensor]<[1488]> weight = ?,Optional[Tensor]<[1488]> bias = ?,Tensor<[1488]> running_mean = ?,Tensor<[1488]> running_var = ?,float momentum = 0.1,float eps = 1e-05
184,"Tensor<[1, 1536, 14, 14]> input = ?",Optional[Tensor]<[1536]> weight = ?,Optional[Tensor]<[1536]> bias = ?,Tensor<[1536]> running_mean = ?,Tensor<[1536]> running_var = ?,float momentum = 0.1,float eps = 1e-05
185,"Tensor<[1, 1584, 14, 14]> input = ?",Optional[Tensor]<[1584]> weight = ?,Optional[Tensor]<[1584]> bias = ?,Tensor<[1584]> running_mean = ?,Tensor<[1584]> running_var = ?,float momentum = 0.1,float eps = 1e-05
186,"Tensor<[1, 1632, 14, 14]> input = ?",Optional[Tensor]<[1632]> weight = ?,Optional[Tensor]<[1632]> bias = ?,Tensor<[1632]> running_mean = ?,Tensor<[1632]> running_var = ?,float momentum = 0.1,float eps = 1e-05
187,"Tensor<[1, 1680, 14, 14]> input = ?",Optional[Tensor]<[1680]> weight = ?,Optional[Tensor]<[1680]> bias = ?,Tensor<[1680]> running_mean = ?,Tensor<[1680]> running_var = ?,float momentum = 0.1,float eps = 1e-05
188,"Tensor<[1, 1728, 14, 14]> input = ?",Optional[Tensor]<[1728]> weight = ?,Optional[Tensor]<[1728]> bias = ?,Tensor<[1728]> running_mean = ?,Tensor<[1728]> running_var = ?,float momentum = 0.1,float eps = 1e-05
189,"Tensor<[1, 1776, 14, 14]> input = ?",Optional[Tensor]<[1776]> weight = ?,Optional[Tensor]<[1776]> bias = ?,Tensor<[1776]> running_mean = ?,Tensor<[1776]> running_var = ?,float momentum = 0.1,float eps = 1e-05
190,"Tensor<[1, 1824, 14, 14]> input = ?",Optional[Tensor]<[1824]> weight = ?,Optional[Tensor]<[1824]> bias = ?,Tensor<[1824]> running_mean = ?,Tensor<[1824]> running_var = ?,float momentum = 0.1,float eps = 1e-05
191,"Tensor<[1, 1872, 14, 14]> input = ?",Optional[Tensor]<[1872]> weight = ?,Optional[Tensor]<[1872]> bias = ?,Tensor<[1872]> running_mean = ?,Tensor<[1872]> running_var = ?,float momentum = 0.1,float eps = 1e-05
192,"Tensor<[1, 1920, 14, 14]> input = ?",Optional[Tensor]<[1920]> weight = ?,Optional[Tensor]<[1920]> bias = ?,Tensor<[1920]> running_mean = ?,Tensor<[1920]> running_var = ?,float momentum = 0.1,float eps = 1e-05
193,"Tensor<[1, 1968, 14, 14]> input = ?",Optional[Tensor]<[1968]> weight = ?,Optional[Tensor]<[1968]> bias = ?,Tensor<[1968]> running_mean = ?,Tensor<[1968]> running_var = ?,float momentum = 0.1,float eps = 1e-05
194,"Tensor<[1, 2016, 14, 14]> input = ?",Optional[Tensor]<[2016]> weight = ?,Optional[Tensor]<[2016]> bias = ?,Tensor<[2016]> running_mean = ?,Tensor<[2016]> running_var = ?,float momentum = 0.1,float eps = 1e-05
195,"Tensor<[1, 2064, 14, 14]> input = ?",Optional[Tensor]<[2064]> weight = ?,Optional[Tensor]<[2064]> bias = ?,Tensor<[2064]> running_mean = ?,Tensor<[2064]> running_var = ?,float momentum = 0.1,float eps = 1e-05
196,"Tensor<[1, 2112, 14, 14]> input = ?",Optional[Tensor]<[2112]> weight = ?,Optional[Tensor]<[2112]> bias = ?,Tensor<[2112]> running_mean = ?,Tensor<[2112]> running_var = ?,float momentum = 0.1,float eps = 1e-05
197,"Tensor<[1, 1056, 7, 7]> input = ?",Optional[Tensor]<[1056]> weight = ?,Optional[Tensor]<[1056]> bias = ?,Tensor<[1056]> running_mean = ?,Tensor<[1056]> running_var = ?,float momentum = 0.1,float eps = 1e-05
198,"Tensor<[1, 192, 7, 7]> input = ?",Optional[Tensor]<[192]> weight = ?,Optional[Tensor]<[192]> bias = ?,Tensor<[192]> running_mean = ?,Tensor<[192]> running_var = ?,float momentum = 0.1,float eps = 1e-05
199,"Tensor<[1, 1104, 7, 7]> input = ?",Optional[Tensor]<[1104]> weight = ?,Optional[Tensor]<[1104]> bias = ?,Tensor<[1104]> running_mean = ?,Tensor<[1104]> running_var = ?,float momentum = 0.1,float eps = 1e-05
200,"Tensor<[1, 1152, 7, 7]> input = ?",Optional[Tensor]<[1152]> weight = ?,Optional[Tensor]<[1152]> bias = ?,Tensor<[1152]> running_mean = ?,Tensor<[1152]> running_var = ?,float momentum = 0.1,float eps = 1e-05
201,"Tensor<[1, 1200, 7, 7]> input = ?",Optional[Tensor]<[1200]> weight = ?,Optional[Tensor]<[1200]> bias = ?,Tensor<[1200]> running_mean = ?,Tensor<[1200]> running_var = ?,float momentum = 0.1,float eps = 1e-05
202,"Tensor<[1, 1248, 7, 7]> input = ?",Optional[Tensor]<[1248]> weight = ?,Optional[Tensor]<[1248]> bias = ?,Tensor<[1248]> running_mean = ?,Tensor<[1248]> running_var = ?,float momentum = 0.1,float eps = 1e-05
203,"Tensor<[1, 1296, 7, 7]> input = ?",Optional[Tensor]<[1296]> weight = ?,Optional[Tensor]<[1296]> bias = ?,Tensor<[1296]> running_mean = ?,Tensor<[1296]> running_var = ?,float momentum = 0.1,float eps = 1e-05
204,"Tensor<[1, 1344, 7, 7]> input = ?",Optional[Tensor]<[1344]> weight = ?,Optional[Tensor]<[1344]> bias = ?,Tensor<[1344]> running_mean = ?,Tensor<[1344]> running_var = ?,float momentum = 0.1,float eps = 1e-05
205,"Tensor<[1, 1392, 7, 7]> input = ?",Optional[Tensor]<[1392]> weight = ?,Optional[Tensor]<[1392]> bias = ?,Tensor<[1392]> running_mean = ?,Tensor<[1392]> running_var = ?,float momentum = 0.1,float eps = 1e-05
206,"Tensor<[1, 1440, 7, 7]> input = ?",Optional[Tensor]<[1440]> weight = ?,Optional[Tensor]<[1440]> bias = ?,Tensor<[1440]> running_mean = ?,Tensor<[1440]> running_var = ?,float momentum = 0.1,float eps = 1e-05
207,"Tensor<[1, 1488, 7, 7]> input = ?",Optional[Tensor]<[1488]> weight = ?,Optional[Tensor]<[1488]> bias = ?,Tensor<[1488]> running_mean = ?,Tensor<[1488]> running_var = ?,float momentum = 0.1,float eps = 1e-05
208,"Tensor<[1, 1536, 7, 7]> input = ?",Optional[Tensor]<[1536]> weight = ?,Optional[Tensor]<[1536]> bias = ?,Tensor<[1536]> running_mean = ?,Tensor<[1536]> running_var = ?,float momentum = 0.1,float eps = 1e-05
209,"Tensor<[1, 1584, 7, 7]> input = ?",Optional[Tensor]<[1584]> weight = ?,Optional[Tensor]<[1584]> bias = ?,Tensor<[1584]> running_mean = ?,Tensor<[1584]> running_var = ?,float momentum = 0.1,float eps = 1e-05
210,"Tensor<[1, 1632, 7, 7]> input = ?",Optional[Tensor]<[1632]> weight = ?,Optional[Tensor]<[1632]> bias = ?,Tensor<[1632]> running_mean = ?,Tensor<[1632]> running_var = ?,float momentum = 0.1,float eps = 1e-05
211,"Tensor<[1, 1680, 7, 7]> input = ?",Optional[Tensor]<[1680]> weight = ?,Optional[Tensor]<[1680]> bias = ?,Tensor<[1680]> running_mean = ?,Tensor<[1680]> running_var = ?,float momentum = 0.1,float eps = 1e-05
212,"Tensor<[1, 1728, 7, 7]> input = ?",Optional[Tensor]<[1728]> weight = ?,Optional[Tensor]<[1728]> bias = ?,Tensor<[1728]> running_mean = ?,Tensor<[1728]> running_var = ?,float momentum = 0.1,float eps = 1e-05
213,"Tensor<[1, 1776, 7, 7]> input = ?",Optional[Tensor]<[1776]> weight = ?,Optional[Tensor]<[1776]> bias = ?,Tensor<[1776]> running_mean = ?,Tensor<[1776]> running_var = ?,float momentum = 0.1,float eps = 1e-05
214,"Tensor<[1, 1824, 7, 7]> input = ?",Optional[Tensor]<[1824]> weight = ?,Optional[Tensor]<[1824]> bias = ?,Tensor<[1824]> running_mean = ?,Tensor<[1824]> running_var = ?,float momentum = 0.1,float eps = 1e-05
215,"Tensor<[1, 1872, 7, 7]> input = ?",Optional[Tensor]<[1872]> weight = ?,Optional[Tensor]<[1872]> bias = ?,Tensor<[1872]> running_mean = ?,Tensor<[1872]> running_var = ?,float momentum = 0.1,float eps = 1e-05
216,"Tensor<[1, 1920, 7, 7]> input = ?",Optional[Tensor]<[1920]> weight = ?,Optional[Tensor]<[1920]> bias = ?,Tensor<[1920]> running_mean = ?,Tensor<[1920]> running_var = ?,float momentum = 0.1,float eps = 1e-05
217,"Tensor<[1, 1968, 7, 7]> input = ?",Optional[Tensor]<[1968]> weight = ?,Optional[Tensor]<[1968]> bias = ?,Tensor<[1968]> running_mean = ?,Tensor<[1968]> running_var = ?,float momentum = 0.1,float eps = 1e-05
218,"Tensor<[1, 2016, 7, 7]> input = ?",Optional[Tensor]<[2016]> weight = ?,Optional[Tensor]<[2016]> bias = ?,Tensor<[2016]> running_mean = ?,Tensor<[2016]> running_var = ?,float momentum = 0.1,float eps = 1e-05
219,"Tensor<[1, 2064, 7, 7]> input = ?",Optional[Tensor]<[2064]> weight = ?,Optional[Tensor]<[2064]> bias = ?,Tensor<[2064]> running_mean = ?,Tensor<[2064]> running_var = ?,float momentum = 0.1,float eps = 1e-05
220,"Tensor<[1, 2112, 7, 7]> input = ?",Optional[Tensor]<[2112]> weight = ?,Optional[Tensor]<[2112]> bias = ?,Tensor<[2112]> running_mean = ?,Tensor<[2112]> running_var = ?,float momentum = 0.1,float eps = 1e-05
221,"Tensor<[1, 2160, 7, 7]> input = ?",Optional[Tensor]<[2160]> weight = ?,Optional[Tensor]<[2160]> bias = ?,Tensor<[2160]> running_mean = ?,Tensor<[2160]> running_var = ?,float momentum = 0.1,float eps = 1e-05
222,"Tensor<[1, 2208, 7, 7]> input = ?",Optional[Tensor]<[2208]> weight = ?,Optional[Tensor]<[2208]> bias = ?,Tensor<[2208]> running_mean = ?,Tensor<[2208]> running_var = ?,float momentum = 0.1,float eps = 1e-05
223,"Tensor<[1, 1088, 14, 14]> input = ?",Optional[Tensor]<[1088]> weight = ?,Optional[Tensor]<[1088]> bias = ?,Tensor<[1088]> running_mean = ?,Tensor<[1088]> running_var = ?,float momentum = 0.1,float eps = 1e-05
224,"Tensor<[1, 1120, 14, 14]> input = ?",Optional[Tensor]<[1120]> weight = ?,Optional[Tensor]<[1120]> bias = ?,Tensor<[1120]> running_mean = ?,Tensor<[1120]> running_var = ?,float momentum = 0.1,float eps = 1e-05
225,"Tensor<[1, 1184, 14, 14]> input = ?",Optional[Tensor]<[1184]> weight = ?,Optional[Tensor]<[1184]> bias = ?,Tensor<[1184]> running_mean = ?,Tensor<[1184]> running_var = ?,float momentum = 0.1,float eps = 1e-05
226,"Tensor<[1, 1216, 14, 14]> input = ?",Optional[Tensor]<[1216]> weight = ?,Optional[Tensor]<[1216]> bias = ?,Tensor<[1216]> running_mean = ?,Tensor<[1216]> running_var = ?,float momentum = 0.1,float eps = 1e-05
227,"Tensor<[1, 1280, 14, 14]> input = ?",Optional[Tensor]<[1280]> weight = ?,Optional[Tensor]<[1280]> bias = ?,Tensor<[1280]> running_mean = ?,Tensor<[1280]> running_var = ?,float momentum = 0.1,float eps = 1e-05
228,"Tensor<[1, 1088, 7, 7]> input = ?",Optional[Tensor]<[1088]> weight = ?,Optional[Tensor]<[1088]> bias = ?,Tensor<[1088]> running_mean = ?,Tensor<[1088]> running_var = ?,float momentum = 0.1,float eps = 1e-05
229,"Tensor<[1, 1120, 7, 7]> input = ?",Optional[Tensor]<[1120]> weight = ?,Optional[Tensor]<[1120]> bias = ?,Tensor<[1120]> running_mean = ?,Tensor<[1120]> running_var = ?,float momentum = 0.1,float eps = 1e-05
