Variation #,Input,Mat1,Mat2
233,Tensor<[2304]> input = ?,"Tensor<[49, 768]> mat1 = ?","Tensor<[768, 2304]> mat2 = ?"
234,Tensor<[768]> input = ?,"Tensor<[49, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
235,Tensor<[3072]> input = ?,"Tensor<[49, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
236,Tensor<[768]> input = ?,"Tensor<[49, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
237,Tensor<[512]> input = ?,"Tensor<[225, 2]> mat1 = ?","Tensor<[2, 512]> mat2 = ?"
238,Tensor<[384]> input = ?,"Tensor<[4096, 128]> mat1 = ?","Tensor<[128, 384]> mat2 = ?"
239,Tensor<[128]> input = ?,"Tensor<[4096, 128]> mat1 = ?","Tensor<[128, 128]> mat2 = ?"
240,Tensor<[512]> input = ?,"Tensor<[4096, 128]> mat1 = ?","Tensor<[128, 512]> mat2 = ?"
241,Tensor<[128]> input = ?,"Tensor<[4096, 512]> mat1 = ?","Tensor<[512, 128]> mat2 = ?"
242,Tensor<[768]> input = ?,"Tensor<[1024, 256]> mat1 = ?","Tensor<[256, 768]> mat2 = ?"
243,Tensor<[256]> input = ?,"Tensor<[1024, 256]> mat1 = ?","Tensor<[256, 256]> mat2 = ?"
244,Tensor<[1024]> input = ?,"Tensor<[1024, 256]> mat1 = ?","Tensor<[256, 1024]> mat2 = ?"
245,Tensor<[256]> input = ?,"Tensor<[1024, 1024]> mat1 = ?","Tensor<[1024, 256]> mat2 = ?"
246,Tensor<[1536]> input = ?,"Tensor<[256, 512]> mat1 = ?","Tensor<[512, 1536]> mat2 = ?"
247,Tensor<[512]> input = ?,"Tensor<[256, 512]> mat1 = ?","Tensor<[512, 512]> mat2 = ?"
248,Tensor<[2048]> input = ?,"Tensor<[256, 512]> mat1 = ?","Tensor<[512, 2048]> mat2 = ?"
249,Tensor<[512]> input = ?,"Tensor<[256, 2048]> mat1 = ?","Tensor<[2048, 512]> mat2 = ?"
250,Tensor<[3072]> input = ?,"Tensor<[64, 1024]> mat1 = ?","Tensor<[1024, 3072]> mat2 = ?"
251,Tensor<[1024]> input = ?,"Tensor<[64, 1024]> mat1 = ?","Tensor<[1024, 1024]> mat2 = ?"
252,Tensor<[4096]> input = ?,"Tensor<[64, 1024]> mat1 = ?","Tensor<[1024, 4096]> mat2 = ?"
253,Tensor<[1024]> input = ?,"Tensor<[64, 4096]> mat1 = ?","Tensor<[4096, 1024]> mat2 = ?"
254,Tensor<[288]> input = ?,"Tensor<[4096, 96]> mat1 = ?","Tensor<[96, 288]> mat2 = ?"
255,Tensor<[96]> input = ?,"Tensor<[4096, 96]> mat1 = ?","Tensor<[96, 96]> mat2 = ?"
256,Tensor<[384]> input = ?,"Tensor<[4096, 96]> mat1 = ?","Tensor<[96, 384]> mat2 = ?"
257,Tensor<[96]> input = ?,"Tensor<[4096, 384]> mat1 = ?","Tensor<[384, 96]> mat2 = ?"
258,Tensor<[576]> input = ?,"Tensor<[1024, 192]> mat1 = ?","Tensor<[192, 576]> mat2 = ?"
259,Tensor<[192]> input = ?,"Tensor<[1024, 192]> mat1 = ?","Tensor<[192, 192]> mat2 = ?"
260,Tensor<[768]> input = ?,"Tensor<[1024, 192]> mat1 = ?","Tensor<[192, 768]> mat2 = ?"
261,Tensor<[192]> input = ?,"Tensor<[1024, 768]> mat1 = ?","Tensor<[768, 192]> mat2 = ?"
262,Tensor<[1152]> input = ?,"Tensor<[256, 384]> mat1 = ?","Tensor<[384, 1152]> mat2 = ?"
263,Tensor<[384]> input = ?,"Tensor<[256, 384]> mat1 = ?","Tensor<[384, 384]> mat2 = ?"
264,Tensor<[1536]> input = ?,"Tensor<[256, 384]> mat1 = ?","Tensor<[384, 1536]> mat2 = ?"
265,Tensor<[384]> input = ?,"Tensor<[256, 1536]> mat1 = ?","Tensor<[1536, 384]> mat2 = ?"
266,Tensor<[2304]> input = ?,"Tensor<[64, 768]> mat1 = ?","Tensor<[768, 2304]> mat2 = ?"
267,Tensor<[768]> input = ?,"Tensor<[64, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
268,Tensor<[3072]> input = ?,"Tensor<[64, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
269,Tensor<[768]> input = ?,"Tensor<[64, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
270,Tensor<[768]> input = ?,"Tensor<[9, 128]> mat1 = ?","Tensor<[128, 768]> mat2 = ?"
271,Tensor<[768]> input = ?,"Tensor<[9, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
272,Tensor<[3072]> input = ?,"Tensor<[9, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
273,Tensor<[768]> input = ?,"Tensor<[9, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
274,Tensor<[2]> input = ?,"Tensor<[1, 768]> mat1 = ?","Tensor<[768, 2]> mat2 = ?"
275,Tensor<[768]> input = ?,"Tensor<[14, 128]> mat1 = ?","Tensor<[128, 768]> mat2 = ?"
276,Tensor<[768]> input = ?,"Tensor<[14, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
277,Tensor<[3072]> input = ?,"Tensor<[14, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
278,Tensor<[768]> input = ?,"Tensor<[14, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
279,Tensor<[2]> input = ?,"Tensor<[14, 768]> mat1 = ?","Tensor<[768, 2]> mat2 = ?"
280,Tensor<[4096]> input = ?,"Tensor<[1, 25088]> mat1 = ?","Tensor<[25088, 4096]> mat2 = ?"
281,Tensor<[4096]> input = ?,"Tensor<[1, 4096]> mat1 = ?","Tensor<[4096, 4096]> mat2 = ?"
282,Tensor<[1000]> input = ?,"Tensor<[1, 4096]> mat1 = ?","Tensor<[4096, 1000]> mat2 = ?"
283,Tensor<[2304]> input = ?,"Tensor<[197, 768]> mat1 = ?","Tensor<[768, 2304]> mat2 = ?"
284,Tensor<[2304]> input = ?,"Tensor<[50, 768]> mat1 = ?","Tensor<[768, 2304]> mat2 = ?"
285,Tensor<[3840]> input = ?,"Tensor<[1370, 1280]> mat1 = ?","Tensor<[1280, 3840]> mat2 = ?"
286,Tensor<[1280]> input = ?,"Tensor<[1370, 1280]> mat1 = ?","Tensor<[1280, 1280]> mat2 = ?"
287,Tensor<[5120]> input = ?,"Tensor<[1370, 1280]> mat1 = ?","Tensor<[1280, 5120]> mat2 = ?"
288,Tensor<[1280]> input = ?,"Tensor<[1370, 5120]> mat1 = ?","Tensor<[5120, 1280]> mat2 = ?"
289,Tensor<[3072]> input = ?,"Tensor<[197, 1024]> mat1 = ?","Tensor<[1024, 3072]> mat2 = ?"
290,Tensor<[3072]> input = ?,"Tensor<[50, 1024]> mat1 = ?","Tensor<[1024, 3072]> mat2 = ?"
291,Tensor<[1024]> input = ?,"Tensor<[50, 1024]> mat1 = ?","Tensor<[1024, 1024]> mat2 = ?"
292,Tensor<[4096]> input = ?,"Tensor<[50, 1024]> mat1 = ?","Tensor<[1024, 4096]> mat2 = ?"
293,Tensor<[1024]> input = ?,"Tensor<[50, 4096]> mat1 = ?","Tensor<[4096, 1024]> mat2 = ?"
