Variation #,Input,Normalized Shape,Weight,Bias,Eps
70,"Tensor<[1, 64, 64, 128]> input = ?",List[int] normalized_shape = [128],Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,float eps = 1e-05
71,"Tensor<[1, 32, 32, 256]> input = ?",List[int] normalized_shape = [256],Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,float eps = 1e-05
72,"Tensor<[1, 16, 16, 512]> input = ?",List[int] normalized_shape = [512],Optional[Tensor]<[512]> weight = ?,Optional[Tensor]<[512]> bias = ?,float eps = 1e-05
73,"Tensor<[1, 8, 8, 1024]> input = ?",List[int] normalized_shape = [1024],Optional[Tensor]<[1024]> weight = ?,Optional[Tensor]<[1024]> bias = ?,float eps = 1e-05
74,"Tensor<[1, 64, 64, 96]> input = ?",List[int] normalized_shape = [96],Optional[Tensor]<[96]> weight = ?,Optional[Tensor]<[96]> bias = ?,float eps = 1e-05
75,"Tensor<[1, 32, 32, 192]> input = ?",List[int] normalized_shape = [192],Optional[Tensor]<[192]> weight = ?,Optional[Tensor]<[192]> bias = ?,float eps = 1e-05
76,"Tensor<[1, 16, 16, 384]> input = ?",List[int] normalized_shape = [384],Optional[Tensor]<[384]> weight = ?,Optional[Tensor]<[384]> bias = ?,float eps = 1e-05
77,"Tensor<[1, 8, 8, 768]> input = ?",List[int] normalized_shape = [768],Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,float eps = 1e-05
78,"Tensor<[1, 9, 768]> input = ?",List[int] normalized_shape = [768],Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,float eps = 1e-12
79,"Tensor<[1, 14, 128]> input = ?",List[int] normalized_shape = [128],Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,float eps = 1e-12
80,"Tensor<[1, 14, 768]> input = ?",List[int] normalized_shape = [768],Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,float eps = 1e-12
81,"Tensor<[1, 197, 768]> input = ?",List[int] normalized_shape = [768],Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,float eps = 1e-06
82,"Tensor<[1, 50, 768]> input = ?",List[int] normalized_shape = [768],Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,float eps = 1e-06
83,"Tensor<[1, 1370, 1280]> input = ?",List[int] normalized_shape = [1280],Optional[Tensor]<[1280]> weight = ?,Optional[Tensor]<[1280]> bias = ?,float eps = 1e-06
84,"Tensor<[1, 197, 1024]> input = ?",List[int] normalized_shape = [1024],Optional[Tensor]<[1024]> weight = ?,Optional[Tensor]<[1024]> bias = ?,float eps = 1e-06
85,"Tensor<[1, 50, 1024]> input = ?",List[int] normalized_shape = [1024],Optional[Tensor]<[1024]> weight = ?,Optional[Tensor]<[1024]> bias = ?,float eps = 1e-06
