Variation #,Tensors,Dim
171,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
172,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
173,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
174,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
175,"List[Tensor] tensors = [<[1, 512, 7, 7]>]",int dim = 1
176,"List[Tensor] tensors = [<[1, 512, 7, 7]>, <[1, 32, 7, 7]>]",int dim = 1
177,"List[Tensor] tensors = [<[1, 512, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>]",int dim = 1
178,"List[Tensor] tensors = [<[1, 512, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>]",int dim = 1
179,"List[Tensor] tensors = [<[1, 512, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>]",int dim = 1
180,"List[Tensor] tensors = [<[1, 512, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>]",int dim = 1
181,"List[Tensor] tensors = [<[1, 512, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>]",int dim = 1
182,"List[Tensor] tensors = [<[1, 512, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>]",int dim = 1
183,"List[Tensor] tensors = [<[1, 512, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>]",int dim = 1
184,"List[Tensor] tensors = [<[1, 512, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>]",int dim = 1
185,"List[Tensor] tensors = [<[1, 512, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>]",int dim = 1
186,"List[Tensor] tensors = [<[1, 512, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>]",int dim = 1
187,"List[Tensor] tensors = [<[1, 512, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>]",int dim = 1
188,"List[Tensor] tensors = [<[1, 512, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>]",int dim = 1
189,"List[Tensor] tensors = [<[1, 512, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>]",int dim = 1
190,"List[Tensor] tensors = [<[1, 512, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>]",int dim = 1
191,"List[Tensor] tensors = [<[1, 512, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>, <[1, 32, 7, 7]>]",int dim = 1
192,"List[Tensor] tensors = [<[1, 96, 56, 56]>]",int dim = 1
193,"List[Tensor] tensors = [<[1, 96, 56, 56]>, <[1, 48, 56, 56]>]",int dim = 1
194,"List[Tensor] tensors = [<[1, 96, 56, 56]>, <[1, 48, 56, 56]>, <[1, 48, 56, 56]>]",int dim = 1
195,"List[Tensor] tensors = [<[1, 96, 56, 56]>, <[1, 48, 56, 56]>, <[1, 48, 56, 56]>, <[1, 48, 56, 56]>]",int dim = 1
196,"List[Tensor] tensors = [<[1, 96, 56, 56]>, <[1, 48, 56, 56]>, <[1, 48, 56, 56]>, <[1, 48, 56, 56]>, <[1, 48, 56, 56]>]",int dim = 1
197,"List[Tensor] tensors = [<[1, 96, 56, 56]>, <[1, 48, 56, 56]>, <[1, 48, 56, 56]>, <[1, 48, 56, 56]>, <[1, 48, 56, 56]>, <[1, 48, 56, 56]>]",int dim = 1
198,"List[Tensor] tensors = [<[1, 96, 56, 56]>, <[1, 48, 56, 56]>, <[1, 48, 56, 56]>, <[1, 48, 56, 56]>, <[1, 48, 56, 56]>, <[1, 48, 56, 56]>, <[1, 48, 56, 56]>]",int dim = 1
199,"List[Tensor] tensors = [<[1, 192, 28, 28]>]",int dim = 1
200,"List[Tensor] tensors = [<[1, 192, 28, 28]>, <[1, 48, 28, 28]>]",int dim = 1
201,"List[Tensor] tensors = [<[1, 192, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>]",int dim = 1
202,"List[Tensor] tensors = [<[1, 192, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>]",int dim = 1
203,"List[Tensor] tensors = [<[1, 192, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>]",int dim = 1
204,"List[Tensor] tensors = [<[1, 192, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>]",int dim = 1
205,"List[Tensor] tensors = [<[1, 192, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>]",int dim = 1
206,"List[Tensor] tensors = [<[1, 192, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>]",int dim = 1
207,"List[Tensor] tensors = [<[1, 192, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>]",int dim = 1
208,"List[Tensor] tensors = [<[1, 192, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>]",int dim = 1
209,"List[Tensor] tensors = [<[1, 192, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>]",int dim = 1
210,"List[Tensor] tensors = [<[1, 192, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>]",int dim = 1
211,"List[Tensor] tensors = [<[1, 192, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>, <[1, 48, 28, 28]>]",int dim = 1
212,"List[Tensor] tensors = [<[1, 384, 14, 14]>]",int dim = 1
213,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
214,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
215,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
216,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
217,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
218,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
219,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
220,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
221,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
222,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
223,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
224,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
225,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
226,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
227,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
228,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
229,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
230,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
231,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
232,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
233,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
234,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
235,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
236,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
237,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
238,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
239,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
240,"List[Tensor] tensors = [<[1, 384, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>, <[1, 48, 14, 14]>]",int dim = 1
