Variation #,Input,Mat2
57,"Tensor<[1, 16384, 32]> input = ?","Tensor<[1, 32, 256]> mat2 = ?"
58,"Tensor<[1, 16384, 256]> input = ?","Tensor<[1, 256, 32]> mat2 = ?"
59,"Tensor<[2, 4096, 32]> input = ?","Tensor<[2, 32, 256]> mat2 = ?"
60,"Tensor<[2, 4096, 256]> input = ?","Tensor<[2, 256, 32]> mat2 = ?"
61,"Tensor<[5, 1024, 32]> input = ?","Tensor<[5, 32, 256]> mat2 = ?"
62,"Tensor<[5, 1024, 256]> input = ?","Tensor<[5, 256, 32]> mat2 = ?"
63,"Tensor<[8, 256, 256]> input = ?","Tensor<[8, 256, 32]> mat2 = ?"
64,"Tensor<[12, 201, 64]> input = ?","Tensor<[12, 64, 201]> mat2 = ?"
65,"Tensor<[12, 201, 201]> input = ?","Tensor<[12, 201, 64]> mat2 = ?"
66,"Tensor<[16, 19, 64]> input = ?","Tensor<[16, 64, 19]> mat2 = ?"
67,"Tensor<[16, 19, 19]> input = ?","Tensor<[16, 19, 64]> mat2 = ?"
68,"Tensor<[3, 1445, 64]> input = ?","Tensor<[3, 64, 1445]> mat2 = ?"
69,"Tensor<[3, 1445, 1445]> input = ?","Tensor<[3, 1445, 64]> mat2 = ?"
70,"Tensor<[12, 12, 64]> input = ?","Tensor<[12, 64, 12]> mat2 = ?"
71,"Tensor<[12, 12, 12]> input = ?","Tensor<[12, 12, 64]> mat2 = ?"
72,"Tensor<[16, 9, 64]> input = ?","Tensor<[16, 64, 9]> mat2 = ?"
73,"Tensor<[16, 9, 9]> input = ?","Tensor<[16, 9, 64]> mat2 = ?"
74,"Tensor<[16, 9, 128]> input = ?","Tensor<[16, 128, 9]> mat2 = ?"
75,"Tensor<[16, 9, 9]> input = ?","Tensor<[16, 9, 128]> mat2 = ?"
76,"Tensor<[64, 9, 64]> input = ?","Tensor<[64, 64, 9]> mat2 = ?"
77,"Tensor<[64, 9, 9]> input = ?","Tensor<[64, 9, 64]> mat2 = ?"
78,"Tensor<[16, 5, 64]> input = ?","Tensor<[16, 64, 5]> mat2 = ?"
79,"Tensor<[16, 5, 5]> input = ?","Tensor<[16, 5, 64]> mat2 = ?"
80,"Tensor<[16, 1, 64]> input = ?","Tensor<[16, 64, 6]> mat2 = ?"
81,"Tensor<[16, 1, 6]> input = ?","Tensor<[16, 6, 64]> mat2 = ?"
82,"Tensor<[12, 16, 64]> input = ?","Tensor<[12, 64, 16]> mat2 = ?"
83,"Tensor<[12, 16, 16]> input = ?","Tensor<[12, 16, 64]> mat2 = ?"
