Variation #,Input,Size
339,"Tensor<[1, 1, 16, 64]> input = ?","List[int] size = [1, 1, 1024]"
340,"Tensor<[1, 1, 1024]> input = ?","List[int] size = [-1, 1024]"
341,"Tensor<[1, 50272]> input = ?","List[int] size = [1, 1, 50272]"
342,"Tensor<[1, 16, s10 + 1, 64]> input = ?","List[int] size = [16, -1, 64]"
343,"Tensor<[16, 1, s10 + 1]> input = ?","List[int] size = [1, 16, 1, <s10 + 1>]"
344,"Tensor<[1, 16, 1, s10 + 1]> input = ?","List[int] size = [16, 1, <s10 + 1>]"
345,"Tensor<[1, 256, 1280]> input = ?","List[int] size = [256, 1280]"
346,"Tensor<[1, 2048, 768]> input = ?","List[int] size = [2048, 768]"
347,"Tensor<[2048, 256]> input = ?","List[int] size = [1, 2048, 256]"
348,"Tensor<[2048, 1280]> input = ?","List[int] size = [1, 2048, 1280]"
349,"Tensor<[1, 256, 256]> input = ?","List[int] size = [1, 256, 8, 32]"
350,"Tensor<[1, 2048, 256]> input = ?","List[int] size = [1, 2048, 8, 32]"
351,"Tensor<[1, 2048, 1280]> input = ?","List[int] size = [1, 2048, 8, 160]"
352,"Tensor<[1, 8, 256, 32]> input = ?","List[int] size = [8, 256, 32]"
353,"Tensor<[1, 8, 32, 2048]> input = ?","List[int] size = [8, 32, 2048]"
354,"Tensor<[8, 256, 2048]> input = ?","List[int] size = [1, 8, 256, 2048]"
355,"Tensor<[1, 8, 256, 2048]> input = ?","List[int] size = [8, 256, 2048]"
356,"Tensor<[1, 8, 2048, 160]> input = ?","List[int] size = [8, 2048, 160]"
357,"Tensor<[8, 256, 160]> input = ?","List[int] size = [1, 8, 256, 160]"
358,"Tensor<[1, 256, 8, 160]> input = ?","List[int] size = [1, 256, 1280]"
359,"Tensor<[256, 1280]> input = ?","List[int] size = [1, 256, 1280]"
360,"Tensor<[1, 256, 1280]> input = ?","List[int] size = [1, 256, 8, 160]"
361,"Tensor<[1, 8, 32, 256]> input = ?","List[int] size = [8, 32, 256]"
362,"Tensor<[8, 256, 256]> input = ?","List[int] size = [1, 8, 256, 256]"
363,"Tensor<[1, 8, 256, 256]> input = ?","List[int] size = [8, 256, 256]"
364,"Tensor<[1, 8, 256, 160]> input = ?","List[int] size = [8, 256, 160]"
365,"Tensor<[256, 768]> input = ?","List[int] size = [1, 256, 768]"
366,"Tensor<[1, 256, 768]> input = ?","List[int] size = [1, 256, 8, 96]"
367,"Tensor<[1, 8, 2048, 32]> input = ?","List[int] size = [8, 2048, 32]"
368,"Tensor<[8, 2048, 256]> input = ?","List[int] size = [1, 8, 2048, 256]"
369,"Tensor<[1, 8, 2048, 256]> input = ?","List[int] size = [8, 2048, 256]"
370,"Tensor<[1, 8, 256, 96]> input = ?","List[int] size = [8, 256, 96]"
371,"Tensor<[8, 2048, 96]> input = ?","List[int] size = [1, 8, 2048, 96]"
372,"Tensor<[1, 2048, 8, 96]> input = ?","List[int] size = [1, 2048, 768]"
373,"Tensor<[2048, 768]> input = ?","List[int] size = [1, 2048, 768]"
374,"Tensor<[1, 2048, 768]> input = ?","List[int] size = [-1, 768]"
375,"Tensor<[2048, 262]> input = ?","List[int] size = [1, 2048, 262]"
376,"Tensor<[1, 512, 1, 1]> input = ?","List[int] size = [1, 512]"
377,"Tensor<[1, 2048, 1, 1]> input = ?","List[int] size = [1, 2048]"
378,"Tensor<[1, 10, 768]> input = ?","List[int] size = [10, 768]"
379,"Tensor<[10, 768]> input = ?","List[int] size = [1, 10, 768]"
380,"Tensor<[1, 10, 768]> input = ?","List[int] size = [1, 10, 12, 64]"
381,"Tensor<[1, 12, 10, 64]> input = ?","List[int] size = [12, 10, 64]"
382,"Tensor<[1, 12, 64, 10]> input = ?","List[int] size = [12, 64, 10]"
383,"Tensor<[12, 10, 10]> input = ?","List[int] size = [1, 12, 10, 10]"
384,"Tensor<[1, 12, 10, 10]> input = ?","List[int] size = [12, 10, 10]"
385,"Tensor<[12, 10, 64]> input = ?","List[int] size = [1, 12, 10, 64]"
386,"Tensor<[1, 10, 12, 64]> input = ?","List[int] size = [1, 10, 768]"
387,"Tensor<[10, 3072]> input = ?","List[int] size = [1, 10, 3072]"
388,"Tensor<[1, 10, 3072]> input = ?","List[int] size = [10, 3072]"
389,"Tensor<[10, 250002]> input = ?","List[int] size = [1, 10, 250002]"
390,"Tensor<[1, 32, 128, 128]> input = ?","List[int] size = [1, 32, 16384]"
391,"Tensor<[1, 16384, 32]> input = ?","List[int] size = [16384, 32]"
392,"Tensor<[16384, 32]> input = ?","List[int] size = [1, 16384, 32]"
393,"Tensor<[1, 16384, 32]> input = ?","List[int] size = [1, 16384, 1, 32]"
394,"Tensor<[1, 32, 16384]> input = ?","List[int] size = [1, 32, 128, 128]"
395,"Tensor<[1, 32, 16, 16]> input = ?","List[int] size = [1, 32, 256]"
396,"Tensor<[1, 256, 32]> input = ?","List[int] size = [256, 32]"
397,"Tensor<[256, 32]> input = ?","List[int] size = [1, 256, 32]"
398,"Tensor<[1, 256, 32]> input = ?","List[int] size = [1, 256, 1, 32]"
399,"Tensor<[1, 1, 16384, 32]> input = ?","List[int] size = [1, 16384, 32]"
400,"Tensor<[1, 1, 32, 256]> input = ?","List[int] size = [1, 32, 256]"
401,"Tensor<[1, 16384, 256]> input = ?","List[int] size = [1, 1, 16384, 256]"
402,"Tensor<[1, 1, 16384, 256]> input = ?","List[int] size = [1, 16384, 256]"
403,"Tensor<[1, 1, 256, 32]> input = ?","List[int] size = [1, 256, 32]"
404,"Tensor<[1, 16384, 32]> input = ?","List[int] size = [1, 1, 16384, 32]"
405,"Tensor<[1, 16384, 1, 32]> input = ?","List[int] size = [1, 16384, 32]"
406,"Tensor<[16384, 128]> input = ?","List[int] size = [1, 16384, 128]"
407,"Tensor<[1, 128, 16384]> input = ?","List[int] size = [1, 128, 128, 128]"
408,"Tensor<[1, 128, 128, 128]> input = ?","List[int] size = [1, 128, 16384]"
409,"Tensor<[1, 16384, 128]> input = ?","List[int] size = [16384, 128]"
410,"Tensor<[1, 16384, 32]> input = ?","List[int] size = [1, 128, 128, -1]"
411,"Tensor<[1, 64, 64, 64]> input = ?","List[int] size = [1, 64, 4096]"
412,"Tensor<[1, 4096, 64]> input = ?","List[int] size = [4096, 64]"
413,"Tensor<[4096, 64]> input = ?","List[int] size = [1, 4096, 64]"
414,"Tensor<[1, 4096, 64]> input = ?","List[int] size = [1, 4096, 2, 32]"
415,"Tensor<[1, 64, 4096]> input = ?","List[int] size = [1, 64, 64, 64]"
416,"Tensor<[1, 64, 16, 16]> input = ?","List[int] size = [1, 64, 256]"
417,"Tensor<[1, 256, 64]> input = ?","List[int] size = [256, 64]"
418,"Tensor<[256, 64]> input = ?","List[int] size = [1, 256, 64]"
419,"Tensor<[1, 256, 64]> input = ?","List[int] size = [1, 256, 2, 32]"
420,"Tensor<[1, 2, 4096, 32]> input = ?","List[int] size = [2, 4096, 32]"
421,"Tensor<[1, 2, 32, 256]> input = ?","List[int] size = [2, 32, 256]"
422,"Tensor<[2, 4096, 256]> input = ?","List[int] size = [1, 2, 4096, 256]"
423,"Tensor<[1, 2, 4096, 256]> input = ?","List[int] size = [2, 4096, 256]"
424,"Tensor<[1, 2, 256, 32]> input = ?","List[int] size = [2, 256, 32]"
425,"Tensor<[2, 4096, 32]> input = ?","List[int] size = [1, 2, 4096, 32]"
426,"Tensor<[1, 4096, 2, 32]> input = ?","List[int] size = [1, 4096, 64]"
427,"Tensor<[4096, 256]> input = ?","List[int] size = [1, 4096, 256]"
428,"Tensor<[1, 256, 4096]> input = ?","List[int] size = [1, 256, 64, 64]"
429,"Tensor<[1, 256, 64, 64]> input = ?","List[int] size = [1, 256, 4096]"
430,"Tensor<[1, 4096, 256]> input = ?","List[int] size = [4096, 256]"
431,"Tensor<[1, 4096, 64]> input = ?","List[int] size = [1, 64, 64, -1]"
432,"Tensor<[1, 160, 32, 32]> input = ?","List[int] size = [1, 160, 1024]"
433,"Tensor<[1, 1024, 160]> input = ?","List[int] size = [1024, 160]"
434,"Tensor<[1024, 160]> input = ?","List[int] size = [1, 1024, 160]"
435,"Tensor<[1, 1024, 160]> input = ?","List[int] size = [1, 1024, 5, 32]"
436,"Tensor<[1, 160, 1024]> input = ?","List[int] size = [1, 160, 32, 32]"
437,"Tensor<[1, 160, 16, 16]> input = ?","List[int] size = [1, 160, 256]"
438,"Tensor<[1, 256, 160]> input = ?","List[int] size = [256, 160]"
439,"Tensor<[256, 160]> input = ?","List[int] size = [1, 256, 160]"
440,"Tensor<[1, 256, 160]> input = ?","List[int] size = [1, 256, 5, 32]"
441,"Tensor<[1, 5, 1024, 32]> input = ?","List[int] size = [5, 1024, 32]"
442,"Tensor<[1, 5, 32, 256]> input = ?","List[int] size = [5, 32, 256]"
443,"Tensor<[5, 1024, 256]> input = ?","List[int] size = [1, 5, 1024, 256]"
444,"Tensor<[1, 5, 1024, 256]> input = ?","List[int] size = [5, 1024, 256]"
445,"Tensor<[1, 5, 256, 32]> input = ?","List[int] size = [5, 256, 32]"
446,"Tensor<[5, 1024, 32]> input = ?","List[int] size = [1, 5, 1024, 32]"
447,"Tensor<[1, 1024, 5, 32]> input = ?","List[int] size = [1, 1024, 160]"
448,"Tensor<[1024, 640]> input = ?","List[int] size = [1, 1024, 640]"
449,"Tensor<[1, 640, 1024]> input = ?","List[int] size = [1, 640, 32, 32]"
450,"Tensor<[1, 640, 32, 32]> input = ?","List[int] size = [1, 640, 1024]"
451,"Tensor<[1, 1024, 640]> input = ?","List[int] size = [1024, 640]"
452,"Tensor<[1, 1024, 160]> input = ?","List[int] size = [1, 32, 32, -1]"
453,"Tensor<[1, 256, 16, 16]> input = ?","List[int] size = [1, 256, 256]"
454,"Tensor<[8, 256, 32]> input = ?","List[int] size = [1, 8, 256, 32]"
455,"Tensor<[1, 256, 8, 32]> input = ?","List[int] size = [1, 256, 256]"
456,"Tensor<[256, 1024]> input = ?","List[int] size = [1, 256, 1024]"
457,"Tensor<[1, 1024, 256]> input = ?","List[int] size = [1, 1024, 16, 16]"
458,"Tensor<[1, 1024, 16, 16]> input = ?","List[int] size = [1, 1024, 256]"
459,"Tensor<[1, 256, 1024]> input = ?","List[int] size = [256, 1024]"
460,"Tensor<[1, 256, 256]> input = ?","List[int] size = [1, 16, 16, -1]"
461,"Tensor<[16384, 256]> input = ?","List[int] size = [1, 16384, 256]"
462,"Tensor<[1, 256, 16384]> input = ?","List[int] size = [1, 256, 128, 128]"
463,"Tensor<[1024, 256]> input = ?","List[int] size = [1, 1024, 256]"
464,"Tensor<[1, 256, 1024]> input = ?","List[int] size = [1, 256, 32, 32]"
465,"Tensor<[1, 256, 256]> input = ?","List[int] size = [1, 256, 16, 16]"
466,"Tensor<[1, 64, 64, 320]> input = ?","List[int] size = [1, 4096, 320]"
467,"Tensor<[1, 4096, 320]> input = ?","List[int] size = [4096, 320]"
468,"Tensor<[4096, 320]> input = ?","List[int] size = [1, 4096, 320]"
469,"Tensor<[1, 4096, 320]> input = ?","List[int] size = [1, -1, 8, 40]"
470,"Tensor<[1, 4096, 8, 40]> input = ?","List[int] size = [1, -1, 320]"
471,"Tensor<[1, 9, 768]> input = ?","List[int] size = [9, 768]"
472,"Tensor<[9, 320]> input = ?","List[int] size = [1, 9, 320]"
473,"Tensor<[1, 9, 320]> input = ?","List[int] size = [1, -1, 8, 40]"
474,"Tensor<[4096, 2560]> input = ?","List[int] size = [1, 4096, 2560]"
475,"Tensor<[1, 4096, 1280]> input = ?","List[int] size = [4096, 1280]"
476,"Tensor<[1, 4096, 320]> input = ?","List[int] size = [1, 64, 64, 320]"
477,"Tensor<[1, 32, 32, 640]> input = ?","List[int] size = [1, 1024, 640]"
478,"Tensor<[1, 1024, 640]> input = ?","List[int] size = [1, -1, 8, 80]"
479,"Tensor<[1, 1024, 8, 80]> input = ?","List[int] size = [1, -1, 640]"
480,"Tensor<[9, 640]> input = ?","List[int] size = [1, 9, 640]"
481,"Tensor<[1, 9, 640]> input = ?","List[int] size = [1, -1, 8, 80]"
482,"Tensor<[1024, 5120]> input = ?","List[int] size = [1, 1024, 5120]"
483,"Tensor<[1, 1024, 2560]> input = ?","List[int] size = [1024, 2560]"
484,"Tensor<[1, 1024, 640]> input = ?","List[int] size = [1, 32, 32, 640]"
485,"Tensor<[1, 16, 16, 1280]> input = ?","List[int] size = [1, 256, 1280]"
486,"Tensor<[1, 256, 1280]> input = ?","List[int] size = [1, -1, 8, 160]"
487,"Tensor<[1, 256, 8, 160]> input = ?","List[int] size = [1, -1, 1280]"
488,"Tensor<[9, 1280]> input = ?","List[int] size = [1, 9, 1280]"
489,"Tensor<[1, 9, 1280]> input = ?","List[int] size = [1, -1, 8, 160]"
490,"Tensor<[256, 10240]> input = ?","List[int] size = [1, 256, 10240]"
491,"Tensor<[1, 256, 5120]> input = ?","List[int] size = [256, 5120]"
492,"Tensor<[1, 256, 1280]> input = ?","List[int] size = [1, 16, 16, 1280]"
493,"Tensor<[1, 8, 8, 1280]> input = ?","List[int] size = [1, 64, 1280]"
494,"Tensor<[1, 64, 1280]> input = ?","List[int] size = [64, 1280]"
495,"Tensor<[64, 1280]> input = ?","List[int] size = [1, 64, 1280]"
496,"Tensor<[1, 64, 1280]> input = ?","List[int] size = [1, -1, 8, 160]"
497,"Tensor<[1, 64, 8, 160]> input = ?","List[int] size = [1, -1, 1280]"
498,"Tensor<[64, 10240]> input = ?","List[int] size = [1, 64, 10240]"
499,"Tensor<[1, 64, 5120]> input = ?","List[int] size = [64, 5120]"
500,"Tensor<[1, 64, 1280]> input = ?","List[int] size = [1, 8, 8, 1280]"
501,"Tensor<[1, 768, 144]> input = ?","List[int] size = [1, 768, 12, 12]"
502,"Tensor<[1, 768, 12, 16]> input = ?","List[int] size = [1, 768, 192]"
503,Tensor<[12]> input = ?,"List[int] size = [-1, 1]"
504,Tensor<[16]> input = ?,"List[int] size = [1, -1]"
505,"Tensor<[1, 1, 12, 16, 2]> input = ?","List[int] size = [1, 192, 2]"
506,"Tensor<[1, 1, 12, 16]> input = ?","List[int] size = [1, 192]"
507,"Tensor<[1, 201, 768]> input = ?","List[int] size = [201, 768]"
508,"Tensor<[201, 768]> input = ?","List[int] size = [1, 201, 768]"
509,"Tensor<[1, 201, 768]> input = ?","List[int] size = [1, 201, 12, 64]"
510,"Tensor<[1, 12, 201, 64]> input = ?","List[int] size = [12, 201, 64]"
511,"Tensor<[1, 12, 64, 201]> input = ?","List[int] size = [12, 64, 201]"
512,"Tensor<[12, 201, 201]> input = ?","List[int] size = [1, 12, 201, 201]"
513,"Tensor<[1, 12, 201, 201]> input = ?","List[int] size = [12, 201, 201]"
514,"Tensor<[12, 201, 64]> input = ?","List[int] size = [1, 12, 201, 64]"
515,"Tensor<[1, 201, 12, 64]> input = ?","List[int] size = [1, 201, 768]"
516,"Tensor<[201, 3072]> input = ?","List[int] size = [1, 201, 3072]"
517,"Tensor<[1, 201, 3072]> input = ?","List[int] size = [201, 3072]"
518,"Tensor<[1, 1500, 768]> input = ?","List[int] size = [1500, 768]"
519,"Tensor<[1500, 768]> input = ?","List[int] size = [1, 1500, 768]"
520,"Tensor<[1, 1500, 768]> input = ?","List[int] size = [1, -1, 12, 64]"
521,"Tensor<[1, 1500, 768]> input = ?","List[int] size = [1, 1500, 12, 64]"
522,"Tensor<[1, 1500, 12, 64]> input = ?","List[int] size = [1, 1500, 768]"
523,"Tensor<[1500, 3072]> input = ?","List[int] size = [1, 1500, 3072]"
524,"Tensor<[1, 1500, 3072]> input = ?","List[int] size = [1500, 3072]"
525,"Tensor<[1, 1, 768]> input = ?","List[int] size = [1, -1, 12, 64]"
526,"Tensor<[1, 51865]> input = ?","List[int] size = [1, 1, 51865]"
527,"Tensor<[1, 4]> input = ?","List[int] size = [-1, 4]"
528,"Tensor<[1, 4, 768]> input = ?","List[int] size = [4, 768]"
529,"Tensor<[4, 768]> input = ?","List[int] size = [1, 4, 768]"
530,"Tensor<[1, 4, 768]> input = ?","List[int] size = [1, -1, 12, 64]"
531,"Tensor<[1, 4, 768]> input = ?","List[int] size = [1, 4, 12, 64]"
532,"Tensor<[1, 4, 12, 64]> input = ?","List[int] size = [1, 4, 768]"
533,"Tensor<[4, 3072]> input = ?","List[int] size = [1, 4, 3072]"
534,"Tensor<[1, 4, 3072]> input = ?","List[int] size = [4, 3072]"
535,"Tensor<[4, 51865]> input = ?","List[int] size = [1, 4, 51865]"
536,"Tensor<[1, 19]> input = ?","List[int] size = [-1, 19]"
537,"Tensor<[1, 19]> input = ?",List[int] size = [-1]
538,"Tensor<[19, 1024]> input = ?","List[int] size = [1, 19, 1024]"
539,"Tensor<[1, 19, 1024]> input = ?","List[int] size = [19, 1024]"
540,"Tensor<[1, 19, 1024]> input = ?","List[int] size = [1, -1, 16, 64]"
541,"Tensor<[1, 19, 1024]> input = ?","List[int] size = [1, 19, 16, 64]"
542,"Tensor<[1, 16, 19, 64]> input = ?","List[int] size = [16, -1, 64]"
543,"Tensor<[16, 19, 19]> input = ?","List[int] size = [1, 16, 19, 19]"
544,"Tensor<[1, 16, 19, 19]> input = ?","List[int] size = [16, 19, 19]"
545,"Tensor<[16, 19, 64]> input = ?","List[int] size = [1, 16, 19, 64]"
546,"Tensor<[19, 4096]> input = ?","List[int] size = [1, 19, 4096]"
547,"Tensor<[1, 19, 4096]> input = ?","List[int] size = [19, 4096]"
548,"Tensor<[19, 256008]> input = ?","List[int] size = [1, 19, 256008]"
549,"Tensor<[1, 19, 256008]> input = ?","List[int] size = [-1, 256008]"
550,"Tensor<[1, 192, 32, 42]> input = ?","List[int] size = [1, 192, 1344]"
551,"Tensor<[1, 192, 4150]> input = ?","List[int] size = [1, 192, 50, 83]"
552,Tensor<[1]> input = ?,"List[int] size = [1, 1, 1, 1]"
553,Tensor<[192]> input = ?,"List[int] size = [1, 192, 1, 1]"
554,Tensor<[32]> input = ?,"List[int] size = [1, 1, 32, 1]"
555,Tensor<[42]> input = ?,"List[int] size = [1, 1, 1, 42]"
556,"Tensor<[1, 1445, 192]> input = ?","List[int] size = [1445, 192]"
557,"Tensor<[1445, 192]> input = ?","List[int] size = [1, 1445, 192]"
558,"Tensor<[1, 1445, 192]> input = ?","List[int] size = [1, 1445, 3, 64]"
559,"Tensor<[1, 3, 1445, 64]> input = ?","List[int] size = [3, 1445, 64]"
560,"Tensor<[1, 3, 64, 1445]> input = ?","List[int] size = [3, 64, 1445]"
561,"Tensor<[3, 1445, 1445]> input = ?","List[int] size = [1, 3, 1445, 1445]"
562,"Tensor<[1, 3, 1445, 1445]> input = ?","List[int] size = [3, 1445, 1445]"
563,"Tensor<[3, 1445, 64]> input = ?","List[int] size = [1, 3, 1445, 64]"
564,"Tensor<[1, 1445, 3, 64]> input = ?","List[int] size = [1, 1445, 192]"
565,"Tensor<[1445, 768]> input = ?","List[int] size = [1, 1445, 768]"
566,"Tensor<[1, 1445, 768]> input = ?","List[int] size = [1445, 768]"
567,"Tensor<[1, 100, 192]> input = ?","List[int] size = [100, 192]"
568,"Tensor<[100, 192]> input = ?","List[int] size = [1, 100, 192]"
569,"Tensor<[100, 92]> input = ?","List[int] size = [1, 100, 92]"
570,"Tensor<[100, 4]> input = ?","List[int] size = [1, 100, 4]"
571,"Tensor<[1, 255, 64, 64]> input = ?","List[int] size = [1, 3, 85, 64, 64]"
572,"Tensor<[1, 3, 64, 64, 85]> input = ?","List[int] size = [1, 12288, 85]"
573,"Tensor<[1, 255, 32, 32]> input = ?","List[int] size = [1, 3, 85, 32, 32]"
574,"Tensor<[1, 3, 32, 32, 85]> input = ?","List[int] size = [1, 3072, 85]"
575,"Tensor<[1, 255, 16, 16]> input = ?","List[int] size = [1, 3, 85, 16, 16]"
576,"Tensor<[1, 3, 16, 16, 85]> input = ?","List[int] size = [1, 768, 85]"
577,"Tensor<[1, 12, 128]> input = ?","List[int] size = [12, 128]"
578,"Tensor<[12, 768]> input = ?","List[int] size = [1, 12, 768]"
579,"Tensor<[1, 12, 768]> input = ?","List[int] size = [12, 768]"
580,"Tensor<[1, 12, 768]> input = ?","List[int] size = [1, 12, 12, 64]"
581,"Tensor<[1, 12, 12, 64]> input = ?","List[int] size = [12, 12, 64]"
582,"Tensor<[1, 12, 64, 12]> input = ?","List[int] size = [12, 64, 12]"
583,"Tensor<[12, 12, 12]> input = ?","List[int] size = [1, 12, 12, 12]"
584,"Tensor<[1, 12, 12, 12]> input = ?","List[int] size = [12, 12, 12]"
585,"Tensor<[12, 12, 64]> input = ?","List[int] size = [1, 12, 12, 64]"
586,"Tensor<[12, 3072]> input = ?","List[int] size = [1, 12, 3072]"
587,"Tensor<[1, 12, 3072]> input = ?","List[int] size = [12, 3072]"
588,"Tensor<[12, 2]> input = ?","List[int] size = [1, 12, 2]"
589,"Tensor<[1, 9, 128]> input = ?","List[int] size = [9, 128]"
590,"Tensor<[9, 1024]> input = ?","List[int] size = [1, 9, 1024]"
591,"Tensor<[1, 9, 1024]> input = ?","List[int] size = [9, 1024]"
592,"Tensor<[1, 9, 1024]> input = ?","List[int] size = [1, 9, 16, 64]"
593,"Tensor<[1, 16, 9, 64]> input = ?","List[int] size = [16, 9, 64]"
594,"Tensor<[1, 16, 64, 9]> input = ?","List[int] size = [16, 64, 9]"
595,"Tensor<[16, 9, 9]> input = ?","List[int] size = [1, 16, 9, 9]"
596,"Tensor<[1, 16, 9, 9]> input = ?","List[int] size = [16, 9, 9]"
597,"Tensor<[16, 9, 64]> input = ?","List[int] size = [1, 16, 9, 64]"
598,"Tensor<[9, 4096]> input = ?","List[int] size = [1, 9, 4096]"
599,"Tensor<[1, 9, 4096]> input = ?","List[int] size = [9, 4096]"
600,"Tensor<[9, 128]> input = ?","List[int] size = [1, 9, 128]"
601,"Tensor<[9, 30000]> input = ?","List[int] size = [1, 9, 30000]"
602,"Tensor<[9, 2048]> input = ?","List[int] size = [1, 9, 2048]"
603,"Tensor<[1, 9, 2048]> input = ?","List[int] size = [9, 2048]"
604,"Tensor<[1, 9, 2048]> input = ?","List[int] size = [1, 9, 16, 128]"
605,"Tensor<[1, 16, 9, 128]> input = ?","List[int] size = [16, 9, 128]"
606,"Tensor<[1, 16, 128, 9]> input = ?","List[int] size = [16, 128, 9]"
607,"Tensor<[16, 9, 128]> input = ?","List[int] size = [1, 16, 9, 128]"
608,"Tensor<[9, 8192]> input = ?","List[int] size = [1, 9, 8192]"
609,"Tensor<[1, 9, 8192]> input = ?","List[int] size = [9, 8192]"
610,"Tensor<[1, 9, 4096]> input = ?","List[int] size = [1, 9, 64, 64]"
611,"Tensor<[1, 64, 9, 64]> input = ?","List[int] size = [64, 9, 64]"
612,"Tensor<[1, 64, 64, 9]> input = ?","List[int] size = [64, 64, 9]"
613,"Tensor<[64, 9, 9]> input = ?","List[int] size = [1, 64, 9, 9]"
614,"Tensor<[1, 64, 9, 9]> input = ?","List[int] size = [64, 9, 9]"
615,"Tensor<[64, 9, 64]> input = ?","List[int] size = [1, 64, 9, 64]"
616,"Tensor<[9, 16384]> input = ?","List[int] size = [1, 9, 16384]"
617,"Tensor<[1, 9, 16384]> input = ?","List[int] size = [9, 16384]"
618,"Tensor<[1, 5]> input = ?","List[int] size = [-1, 5]"
619,"Tensor<[1, 5]> input = ?","List[int] size = [1, -1]"
620,"Tensor<[1, 5, 1024]> input = ?","List[int] size = [5, 1024]"
621,"Tensor<[5, 3072]> input = ?","List[int] size = [1, 5, 3072]"
622,"Tensor<[1, 5, 3072]> input = ?","List[int] size = [1, 5, 4, -1]"
623,"Tensor<[1, 5, 4, 256]> input = ?","List[int] size = [1, 5, 4, 4, 64]"
624,"Tensor<[1, 5, 1, 16, 2]> input = ?","List[int] size = [1, 5, 1, 32]"
625,"Tensor<[1, 5, 16, 16, 2]> input = ?","List[int] size = [1, 5, 16, 32]"
626,"Tensor<[1, 16, 5, 64]> input = ?","List[int] size = [16, 5, 64]"
627,"Tensor<[1, 16, 64, 5]> input = ?","List[int] size = [16, 64, 5]"
628,"Tensor<[16, 5, 5]> input = ?","List[int] size = [1, 16, 5, 5]"
629,"Tensor<[1, 16, 5, 5]> input = ?","List[int] size = [16, 5, 5]"
630,"Tensor<[16, 5, 64]> input = ?","List[int] size = [1, 16, 5, 64]"
631,"Tensor<[1, 5, 16, 64]> input = ?","List[int] size = [1, 5, 1024]"
632,"Tensor<[5, 1024]> input = ?","List[int] size = [1, 5, 1024]"
633,"Tensor<[5, 4096]> input = ?","List[int] size = [1, 5, 4096]"
634,"Tensor<[1, 5, 4096]> input = ?","List[int] size = [5, 4096]"
635,"Tensor<[1, 5, 1024]> input = ?","List[int] size = [1, 5, 1024]"
636,"Tensor<[5, 51200]> input = ?","List[int] size = [1, 5, 51200]"
637,"Tensor<[1, 6]> input = ?","List[int] size = [1, -1]"
638,"Tensor<[1, 1, 3072]> input = ?","List[int] size = [1, 1, 4, -1]"
639,"Tensor<[1, 1, 4, 256]> input = ?","List[int] size = [1, 1, 4, 4, 64]"
640,"Tensor<[1, 1, 1, 16, 2]> input = ?","List[int] size = [1, 1, 1, 32]"
641,"Tensor<[1, 1, 16, 16, 2]> input = ?","List[int] size = [1, 1, 16, 32]"
642,"Tensor<[1, 16, 1, 64]> input = ?","List[int] size = [16, 1, 64]"
643,"Tensor<[1, 16, 64, 6]> input = ?","List[int] size = [16, 64, 6]"
644,"Tensor<[16, 1, 6]> input = ?","List[int] size = [1, 16, 1, 6]"
645,"Tensor<[1, 16, 1, 6]> input = ?","List[int] size = [16, 1, 6]"
646,"Tensor<[1, 16, 6, 64]> input = ?","List[int] size = [16, 6, 64]"
647,"Tensor<[1, 4096]> input = ?","List[int] size = [1, 1, 4096]"
648,"Tensor<[1, 1, 4096]> input = ?","List[int] size = [1, 4096]"
649,"Tensor<[1, 1, 1024]> input = ?","List[int] size = [1, 1, 1024]"
650,"Tensor<[1, 51200]> input = ?","List[int] size = [1, 1, 51200]"
651,"Tensor<[1, s10 + 1]> input = ?","List[int] size = [1, -1]"
652,"Tensor<[1, 16, 64, s10 + 1]> input = ?","List[int] size = [16, 64, <s10 + 1>]"
653,"Tensor<[1, 16, s10 + 1, 64]> input = ?","List[int] size = [16, <s10 + 1>, 64]"
654,"Tensor<[1, 1024, 1, 1]> input = ?","List[int] size = [1, 1024]"
655,"Tensor<[1, 2208, 1, 1]> input = ?","List[int] size = [1, 2208]"
656,"Tensor<[1, 1664, 1, 1]> input = ?","List[int] size = [1, 1664]"
657,"Tensor<[1, 1920, 1, 1]> input = ?","List[int] size = [1, 1920]"
658,"Tensor<[1, 16, 768]> input = ?","List[int] size = [16, 768]"
659,"Tensor<[16, 768]> input = ?","List[int] size = [1, 16, 768]"
660,"Tensor<[1, 16, 768]> input = ?","List[int] size = [1, -1, 12, 64]"
661,"Tensor<[1, 12, 16, 64]> input = ?","List[int] size = [12, 16, 64]"
662,"Tensor<[1, 12, 64, 16]> input = ?","List[int] size = [12, 64, 16]"
663,"Tensor<[12, 16, 16]> input = ?","List[int] size = [1, 12, 16, 16]"
664,"Tensor<[1, 16]> input = ?","List[int] size = [1, 1, 1, 16]"
665,"Tensor<[1, 12, 16, 16]> input = ?","List[int] size = [12, 16, 16]"
666,"Tensor<[12, 16, 64]> input = ?","List[int] size = [1, 12, 16, 64]"
667,"Tensor<[1, 16, 12, 64]> input = ?","List[int] size = [1, -1, 768]"
668,"Tensor<[16, 3072]> input = ?","List[int] size = [1, 16, 3072]"
669,"Tensor<[1, 16, 3072]> input = ?","List[int] size = [16, 3072]"
670,"Tensor<[1, 1000, 1, 1]> input = ?","List[int] size = [1, 1000]"
671,"Tensor<[1, 768, 14, 14]> input = ?","List[int] size = [1, 768, 196]"
672,"Tensor<[1, 197, 768]> input = ?","List[int] size = [197, 768]"
